Date;Competition Name;Home team;Opponent;Away team;Minute;Score Home Team - When Messi Scored;Score Away Team - When Messi Scored;Goal Type;Goal Method;Final Game Result
samedi 29 octobre 2011;Liga;FC Barcelona;Real Mallorca;Real Mallorca;21;2;0;;Right foot;Won
samedi 15 octobre 2011;Liga;FC Barcelona;Racing Santander;Racing Santander;68;3;0;;Right foot;Won
samedi 15 octobre 2011;Liga;FC Barcelona;Racing Santander;Racing Santander;11;1;0;;Right foot;Won
lundi 29 août 2011;Liga;FC Barcelona;Villarreal;Villarreal;52;4;0;;Right foot;Won
samedi 23 avril 2011;Liga;FC Barcelona;Osasuna;Osasuna;87;2;0;;Right foot;Won
dimanche 20 février 2011;Liga;FC Barcelona;Athletic de Bilbao;Athletic de Bilbao;78;2;1;;Right foot;Won
samedi 13 novembre 2010;Liga;FC Barcelona;Villarreal;Villarreal;58;2;1;;Right foot;Won
dimanche 16 mai 2010;Liga;FC Barcelona;Real Valladolid;Real Valladolid;62;3;0;;Right foot;Won
mardi 4 mai 2010;Liga;FC Barcelona;Tenerife;Tenerife;90+3;4;1;;Right foot;Won
mardi 4 mai 2010;Liga;FC Barcelona;Tenerife;Tenerife;17;1;0;;Right foot;Won
dimanche 14 mars 2010;Liga;FC Barcelona;Valencia;Valencia;83;3;0;;Right foot;Won
samedi 27 février 2010;Liga;FC Barcelona;Málaga;Málaga;84;2;1;Field goal;Right foot;Won
samedi 19 septembre 2009;Liga;FC Barcelona;Atlético Madrid;Atlético Madrid;90+4;5;2;;Right foot;Won
dimanche 22 mars 2009;Liga;FC Barcelona;Málaga;Málaga;25;2;0;;Right foot;Won
samedi 24 janvier 2009;Liga;FC Barcelona;Numancia;Numancia;76;4;1;Rebound;Right foot;Won
samedi 9 juin 2007;Liga;FC Barcelona;Espanyol;Espanyol;57;2;1;;Right foot;Draw
samedi 9 juin 2007;Liga;FC Barcelona;Espanyol;Espanyol;43;1;1;;Hand;Draw
dimanche 15 octobre 2006;Liga;FC Barcelona;Sevilla;Sevilla;81;3;1;;Right foot;Won
mardi 18 septembre 2018;Champions League;FC Barcelona;PSV Eindhoven;PSV Eindhoven;87;4;0;Field goal;Right foot;Won
mercredi 14 mars 2018;Champions League;FC Barcelona;Chelsea;Chelsea;3;1;0;Field goal;Right foot;Won
mercredi 17 août 2016;;FC Barcelona;Sevilla;Sevilla;55;3;0;Field goal;Head;Won
mercredi 6 mai 2015;Champions League;FC Barcelona;Bayern München;Bayern München;80;2;0;;Right foot;Won
mercredi 10 décembre 2014;Champions League;FC Barcelona;Paris Saint-Germain;Paris Saint-Germain;19;1;1;;Right foot;Won
mercredi 19 septembre 2012;Champions League;FC Barcelona;Spartak Moscow;Spartak Moscow;80;3;2;;Head;Won
mercredi 7 mars 2012;Champions League;FC Barcelona;Bayer Leverkusen;Bayer Leverkusen;49;3;0;;Right foot;Won
mercredi 4 janvier 2012;;FC Barcelona;Osasuna;Osasuna;73;3;0;;Head;Won
mercredi 17 août 2011;;FC Barcelona;Real Madrid;Real Madrid;45;2;1;Field goal;Right foot;Won
samedi 21 août 2010;;FC Barcelona;Sevilla;Sevilla;43;3;0;;Right foot;Won
mardi 6 avril 2010;Champions League;FC Barcelona;Arsenal;Arsenal;37;2;1;;Right foot;Won
dimanche 23 août 2009;;FC Barcelona;Athletic de Bilbao;Athletic de Bilbao;50;1;0;;Right foot;Won
mercredi 27 mai 2009;Champions League;FC Barcelona;Manchester United;Manchester United;70;2;0;;Head;Won
mercredi 8 avril 2009;Champions League;FC Barcelona;Bayern München;Bayern München;38;3;0;;Right foot;Won
mercredi 18 avril 2007;;FC Barcelona;Getafe;Getafe;29;2;0;Solo run;Right foot;Won
mercredi 1 février 2006;;FC Barcelona;Real Zaragoza;Real Zaragoza;42;1;0;Field goal;Head;Won
mercredi 30 janvier 2019;;FC Barcelona;Sevilla;Sevilla;90+2;6;1;Field goal;Left foot;Won
jeudi 17 janvier 2019;;FC Barcelona;Levante;Levante;54;3;0;Field goal;Left foot;Won
mardi 18 septembre 2018;Champions League;FC Barcelona;PSV Eindhoven;PSV Eindhoven;77;3;0;Field goal;Left foot;Won
mardi 18 septembre 2018;Champions League;FC Barcelona;PSV Eindhoven;PSV Eindhoven;32;1;0;Free kick;Left foot;Won
mercredi 14 mars 2018;Champions League;FC Barcelona;Chelsea;Chelsea;63;3;0;Field goal;Left foot;Won
jeudi 25 janvier 2018;;FC Barcelona;Espanyol;Espanyol;25;2;0;Field goal;Left foot;Won
jeudi 11 janvier 2018;;FC Barcelona;Celta de Vigo;Celta de Vigo;15;2;0;Field goal;Left foot;Won
jeudi 11 janvier 2018;;FC Barcelona;Celta de Vigo;Celta de Vigo;13;1;0;Field goal;Left foot;Won
mercredi 18 octobre 2017;Champions League;FC Barcelona;Olympiacos;Olympiacos;61;2;0;Free kick;Left foot;Won
mardi 12 septembre 2017;Champions League;FC Barcelona;Juventus;Juventus;69;3;0;Field goal;Left foot;Won
mardi 12 septembre 2017;Champions League;FC Barcelona;Juventus;Juventus;45;1;0;Field goal;Left foot;Won
dimanche 13 août 2017;;FC Barcelona;Real Madrid;Real Madrid;76;1;1;Penalty;Left foot;Lost
samedi 27 mai 2017;;FC Barcelona;Alavés;Alavés;30;1;0;Field goal;Left foot;Won
mercredi 8 mars 2017;Champions League;FC Barcelona;Paris Saint-Germain;Paris Saint-Germain;50;3;0;Penalty;Left foot;Won
jeudi 26 janvier 2017;;FC Barcelona;Real Sociedad;Real Sociedad;55;2;0;Penalty;Left foot;Won
mercredi 11 janvier 2017;;FC Barcelona;Athletic de Bilbao;Athletic de Bilbao;78;3;1;Free kick;Left foot;Won
mardi 6 décembre 2016;Champions League;FC Barcelona;Borussia Mönchengladbach;Borussia Mönchengladbach;16;1;0;Field goal;Left foot;Won
mercredi 19 octobre 2016;Champions League;FC Barcelona;Manchester City;Manchester City;69;3;0;Field goal;Left foot;Won
mercredi 19 octobre 2016;Champions League;FC Barcelona;Manchester City;Manchester City;61;2;0;Field goal;Left foot;Won
mercredi 19 octobre 2016;Champions League;FC Barcelona;Manchester City;Manchester City;17;1;0;Field goal;Left foot;Won
mardi 13 septembre 2016;Champions League;FC Barcelona;Celtic;Celtic;60;5;0;Field goal;Left foot;Won
mardi 13 septembre 2016;Champions League;FC Barcelona;Celtic;Celtic;27;2;0;Field goal;Left foot;Won
mardi 13 septembre 2016;Champions League;FC Barcelona;Celtic;Celtic;3;1;0;Field goal;Left foot;Won
mercredi 16 mars 2016;Champions League;FC Barcelona;Arsenal;Arsenal;88;3;1;Field goal;Left foot;Won
mercredi 3 février 2016;;FC Barcelona;Valencia;Valencia;74;5;0;Field goal;Left foot;Won
mercredi 3 février 2016;;FC Barcelona;Valencia;Valencia;58;4;0;Field goal;Left foot;Won
mercredi 3 février 2016;;FC Barcelona;Valencia;Valencia;29;3;0;Field goal;Left foot;Won
mercredi 6 janvier 2016;;FC Barcelona;Espanyol;Espanyol;44;2;1;Free kick;Left foot;Won
mercredi 6 janvier 2016;;FC Barcelona;Espanyol;Espanyol;13;1;1;Field goal;Left foot;Won
mardi 24 novembre 2015;Champions League;FC Barcelona;AS Roma;AS Roma;59;5;0;Rebound;Left foot;Won
mardi 24 novembre 2015;Champions League;FC Barcelona;AS Roma;AS Roma;18;2;0;Field goal;Left foot;Won
lundi 17 août 2015;;FC Barcelona;Athletic de Bilbao;Athletic de Bilbao;43;1;0;Field goal;Left foot;Draw
mardi 11 août 2015;;FC Barcelona;Sevilla;Sevilla;15;2;1;Free kick;Left foot;Won
mardi 11 août 2015;;FC Barcelona;Sevilla;Sevilla;7;1;1;Free kick;Left foot;Won
mercredi 6 mai 2015;Champions League;FC Barcelona;Bayern München;Bayern München;77;1;0;;Left foot;Won
mercredi 11 février 2015;;FC Barcelona;Villarreal;Villarreal;41;1;0;;Left foot;Won
mercredi 21 janvier 2015;;FC Barcelona;Atlético Madrid;Atlético Madrid;85;1;0;Rebound;Left foot;Won
jeudi 8 janvier 2015;;FC Barcelona;Elche;Elche;45;3;0;Penalty;Left foot;Won
mardi 21 octobre 2014;Champions League;FC Barcelona;Ajax;Ajax;24;2;0;;Left foot;Won
mercredi 12 mars 2014;Champions League;FC Barcelona;Manchester City;Manchester City;67;1;0;;Left foot;Won
mercredi 8 janvier 2014;;FC Barcelona;Getafe;Getafe;90+3;4;0;;Left foot;Won
mercredi 8 janvier 2014;;FC Barcelona;Getafe;Getafe;90;3;0;;Left foot;Won
mercredi 6 novembre 2013;Champions League;FC Barcelona;AC Milan;AC Milan;83;3;1;;Left foot;Won
mercredi 6 novembre 2013;Champions League;FC Barcelona;AC Milan;AC Milan;30;1;0;Penalty;Left foot;Won
mercredi 18 septembre 2013;Champions League;FC Barcelona;Ajax;Ajax;75;4;0;;Left foot;Won
mercredi 18 septembre 2013;Champions League;FC Barcelona;Ajax;Ajax;55;2;0;;Left foot;Won
mercredi 18 septembre 2013;Champions League;FC Barcelona;Ajax;Ajax;22;1;0;Free kick;Left foot;Won
mardi 12 mars 2013;Champions League;FC Barcelona;AC Milan;AC Milan;39;2;0;;Left foot;Won
mardi 12 mars 2013;Champions League;FC Barcelona;AC Milan;AC Milan;5;1;0;;Left foot;Won
mercredi 16 janvier 2013;;FC Barcelona;Málaga;Málaga;29;1;1;;Left foot;Draw
mercredi 19 septembre 2012;Champions League;FC Barcelona;Spartak Moscow;Spartak Moscow;71;2;2;;Left foot;Won
jeudi 23 août 2012;;FC Barcelona;Real Madrid;Real Madrid;70;2;1;Penalty;Left foot;Won
mardi 3 avril 2012;Champions League;FC Barcelona;AC Milan;AC Milan;41;2;1;Penalty;Left foot;Won
mardi 3 avril 2012;Champions League;FC Barcelona;AC Milan;AC Milan;11;1;0;Penalty;Left foot;Won
mercredi 7 mars 2012;Champions League;FC Barcelona;Bayer Leverkusen;Bayer Leverkusen;84;7;0;;Left foot;Won
mercredi 7 mars 2012;Champions League;FC Barcelona;Bayer Leverkusen;Bayer Leverkusen;58;5;0;Rebound;Left foot;Won
mercredi 7 mars 2012;Champions League;FC Barcelona;Bayer Leverkusen;Bayer Leverkusen;42;2;0;;Left foot;Won
mercredi 7 mars 2012;Champions League;FC Barcelona;Bayer Leverkusen;Bayer Leverkusen;25;1;0;;Left foot;Won
mercredi 4 janvier 2012;;FC Barcelona;Osasuna;Osasuna;90+2;4;0;;Left foot;Won
vendredi 26 août 2011;;FC Barcelona;FC Porto;FC Porto;39;1;0;;Left foot;Won
mercredi 17 août 2011;;FC Barcelona;Real Madrid;Real Madrid;87;3;2;Field goal;Left foot;Won
samedi 28 mai 2011;Champions League;FC Barcelona;Manchester United;Manchester United;54;2;1;;Left foot;Won
mardi 8 mars 2011;Champions League;FC Barcelona;Arsenal;Arsenal;71;3;1;Penalty;Left foot;Won
mardi 8 mars 2011;Champions League;FC Barcelona;Arsenal;Arsenal;45+3;1;0;Field goal;Left foot;Won
mercredi 26 janvier 2011;;FC Barcelona;UD Almería;UD Almería;16;3;0;;Left foot;Won
mercredi 26 janvier 2011;;FC Barcelona;UD Almería;UD Almería;9;1;0;;Left foot;Won
mercredi 12 janvier 2011;;FC Barcelona;Real Betis;Real Betis;73;3;0;;Left foot;Won
mercredi 12 janvier 2011;;FC Barcelona;Real Betis;Real Betis;62;2;0;Rebound;Left foot;Won
mercredi 12 janvier 2011;;FC Barcelona;Real Betis;Real Betis;44;1;0;;Left foot;Won
mercredi 10 novembre 2010;;FC Barcelona;AD Ceuta;AD Ceuta;68;5;1;;Left foot;Won
mercredi 20 octobre 2010;Champions League;FC Barcelona;FC Copenhagen;FC Copenhagen;90+2;2;0;;Left foot;Won
mercredi 20 octobre 2010;Champions League;FC Barcelona;FC Copenhagen;FC Copenhagen;19;1;0;;Left foot;Won
mardi 14 septembre 2010;Champions League;FC Barcelona;Panathinaikos;Panathinaikos;45;3;1;;Left foot;Won
mardi 14 septembre 2010;Champions League;FC Barcelona;Panathinaikos;Panathinaikos;22;1;1;;Left foot;Won
samedi 21 août 2010;;FC Barcelona;Sevilla;Sevilla;90;4;0;;Left foot;Won
samedi 21 août 2010;;FC Barcelona;Sevilla;Sevilla;24;2;0;;Left foot;Won
mardi 6 avril 2010;Champions League;FC Barcelona;Arsenal;Arsenal;88;4;1;Rebound;Left foot;Won
mardi 6 avril 2010;Champions League;FC Barcelona;Arsenal;Arsenal;42;3;1;;Left foot;Won
mardi 6 avril 2010;Champions League;FC Barcelona;Arsenal;Arsenal;21;1;1;;Left foot;Won
mercredi 17 mars 2010;Champions League;FC Barcelona;VfB Stuttgart;VfB Stuttgart;60;3;0;;Left foot;Won
mercredi 17 mars 2010;Champions League;FC Barcelona;VfB Stuttgart;VfB Stuttgart;13;1;0;Solo run;Left foot;Won
mardi 10 novembre 2009;;FC Barcelona;Cultural Leonesa;Cultural Leonesa;64;4;0;;Left foot;Won
mardi 29 septembre 2009;Champions League;FC Barcelona;Dynamo Kyiv;Dynamo Kyiv;26;1;0;;Left foot;Won
dimanche 23 août 2009;;FC Barcelona;Athletic de Bilbao;Athletic de Bilbao;68;2;0;Penalty;Left foot;Won
mercredi 8 avril 2009;Champions League;FC Barcelona;Bayern München;Bayern München;9;1;0;;Left foot;Won
mercredi 11 mars 2009;Champions League;FC Barcelona;Olympique Lyon;Olympique Lyon;40;3;0;;Left foot;Won
mercredi 12 novembre 2008;;FC Barcelona;Benidorm;Benidorm;87;1;0;Rebound;Left foot;Won
mardi 4 novembre 2008;Champions League;FC Barcelona;FC Basel;FC Basel;62;1;0;;Left foot;Draw
mercredi 7 novembre 2007;Champions League;FC Barcelona;Glasgow Rangers;Glasgow Rangers;43;2;0;Rebound;Left foot;Won
mercredi 19 septembre 2007;Champions League;FC Barcelona;Olympique Lyon;Olympique Lyon;83;2;0;;Left foot;Won
mercredi 18 avril 2007;;FC Barcelona;Getafe;Getafe;45;3;0;;Left foot;Won
mercredi 2 novembre 2005;Champions League;FC Barcelona;Panathinaikos;Panathinaikos;34;3;0;;Left foot;Won
mardi 26 juin 2018;World Cup;Nigeria;Nigeria;Argentina;14;0;1;Field goal;Right foot;Won
mardi 29 mai 2018;;Argentina;Haiti;Haiti;66;3;0;Field goal;Left foot;Won
mardi 29 mai 2018;;Argentina;Haiti;Haiti;58;2;0;Rebound;Right foot;Won
mardi 29 mai 2018;;Argentina;Haiti;Haiti;17;1;0;Penalty;Left foot;Won
mardi 10 octobre 2017;;Ecuador;Ecuador;Argentina;63;1;3;Field goal;Left foot;Won
mardi 10 octobre 2017;;Ecuador;Ecuador;Argentina;20;1;2;Field goal;Left foot;Won
mardi 10 octobre 2017;;Ecuador;Ecuador;Argentina;12;1;1;Field goal;Left foot;Won
jeudi 23 mars 2017;;Argentina;Chile;Chile;16;1;0;Penalty;Left foot;Won
mardi 15 novembre 2016;;Argentina;Colombia;Colombia;10;1;0;Free kick;Left foot;Won
jeudi 1 septembre 2016;;Argentina;Uruguay;Uruguay;43;1;0;Field goal;Left foot;Won
mardi 21 juin 2016;Copa America;United States;United States;Argentina;32;0;2;Free kick;Left foot;Won
samedi 18 juin 2016;Copa America;Argentina;Venezuela;Venezuela;60;3;0;Field goal;Left foot;Won
vendredi 10 juin 2016;Copa America;Argentina;Panama;Panama;87;4;0;Field goal;Left foot;Won
vendredi 10 juin 2016;Copa America;Argentina;Panama;Panama;78;3;0;Free kick;Left foot;Won
vendredi 10 juin 2016;Copa America;Argentina;Panama;Panama;68;2;0;Field goal;Left foot;Won
mardi 29 mars 2016;;Argentina;Bolivia;Bolivia;30;2;0;Penalty;Left foot;Won
mardi 8 septembre 2015;;Argentina;Mexico;Mexico;88;2;2;Field goal;Left foot;Draw
vendredi 4 septembre 2015;;Argentina;Bolivia;Bolivia;74;6;0;Field goal;Left foot;Won
vendredi 4 septembre 2015;;Argentina;Bolivia;Bolivia;66;5;0;Field goal;Head;Won
samedi 13 juin 2015;Copa America;Argentina;Paraguay;Paraguay;35;2;0;Penalty;Left foot;Draw
mercredi 12 novembre 2014;;Argentina;Croatia;Croatia;57;2;1;Penalty;Left foot;Won
mardi 14 octobre 2014;;Hong Kong;Hong Kong;Argentina;84;0;7;Solo run;Left foot;Won
mardi 14 octobre 2014;;Hong Kong;Hong Kong;Argentina;66;0;5;;Left foot;Won
mercredi 25 juin 2014;World Cup;Nigeria;Nigeria;Argentina;45+1;1;2;Free kick;Left foot;Won
mercredi 25 juin 2014;World Cup;Nigeria;Nigeria;Argentina;3;0;1;Rebound;Left foot;Won
samedi 21 juin 2014;World Cup;Argentina;Iran;Iran;90+1;1;0;;Left foot;Won
lundi 16 juin 2014;World Cup;Argentina;Bosnia-Herzegovina;Bosnia-Herzegovina;65;2;0;Solo run;Left foot;Won
samedi 7 juin 2014;;Argentina;Slovenia;Slovenia;75;2;0;Field goal;Left foot;Won
mercredi 11 septembre 2013;;Paraguay;Paraguay;Argentina;52;1;4;Penalty;Left foot;Won
mercredi 11 septembre 2013;;Paraguay;Paraguay;Argentina;12;0;1;Penalty;Left foot;Won
samedi 15 juin 2013;;Guatemala;Guatemala;Argentina;49;0;4;Field goal;Left foot;Won
samedi 15 juin 2013;;Guatemala;Guatemala;Argentina;40;0;3;Penalty;Left foot;Won
samedi 15 juin 2013;;Guatemala;Guatemala;Argentina;15;0;1;Field goal;Left foot;Won
samedi 23 mars 2013;;Argentina;Venezuela;Venezuela;44;2;0;Penalty;Left foot;Won
mercredi 17 octobre 2012;;Chile;Chile;Argentina;28;0;1;;Left foot;Won
samedi 13 octobre 2012;;Argentina;Uruguay;Uruguay;80;3;0;Free kick;Left foot;Won
samedi 13 octobre 2012;;Argentina;Uruguay;Uruguay;65;1;0;;Right foot;Won
samedi 8 septembre 2012;;Argentina;Paraguay;Paraguay;63;3;1;Free kick;Left foot;Won
mercredi 15 août 2012;;Germany;Germany;Argentina;52;0;2;;Left foot;Won
samedi 9 juin 2012;;Argentina;Brazil;Brazil;85;4;3;Solo run;Left foot;Won
samedi 9 juin 2012;;Argentina;Brazil;Brazil;35;2;1;;Left foot;Won
samedi 9 juin 2012;;Argentina;Brazil;Brazil;31;1;1;;Left foot;Won
dimanche 3 juin 2012;;Argentina;Ecuador;Ecuador;31;3;0;Field goal;Left foot;Won
mercredi 29 février 2012;;Switzerland;Switzerland;Argentina;90+3;1;3;Penalty;Left foot;Won
mercredi 29 février 2012;;Switzerland;Switzerland;Argentina;88;1;2;;Left foot;Won
mercredi 29 février 2012;;Switzerland;Switzerland;Argentina;20;0;1;;Left foot;Won
mardi 15 novembre 2011;;Colombia;Colombia;Argentina;60;1;1;Rebound;Left foot;Won
samedi 8 octobre 2011;;Argentina;Chile;Chile;26;2;0;Field goal;Left foot;Won
lundi 20 juin 2011;;Argentina;Albania;Albania;42;2;0;Field goal;Left foot;Won
mercredi 9 février 2011;;Argentina;Portugal;Portugal;90;2;1;Penalty;Left foot;Won
mercredi 17 novembre 2010;;Argentina;Brazil;Brazil;90+2;1;0;Solo run;Left foot;Won
mardi 7 septembre 2010;;Argentina;Spain;Spain;10;1;0;Field goal;Left foot;Won
samedi 14 novembre 2009;;Spain;Spain;Argentina;61;1;1;Penalty;Left foot;Lost
samedi 28 mars 2009;;Argentina;Venezuela;Venezuela;26;1;0;;Left foot;Won
mercredi 11 février 2009;;France;France;Argentina;83;0;2;Solo run;Left foot;Won
samedi 11 octobre 2008;;Argentina;Uruguay;Uruguay;6;1;0;;Head;Won
jeudi 5 juin 2008;;Mexico;Mexico;Argentina;18;0;2;;Left foot;Won
mercredi 21 novembre 2007;;Colombia;Colombia;Argentina;36;0;1;Solo run;Left foot;Lost
mercredi 17 octobre 2007;;Venezuela;Venezuela;Argentina;43;0;2;;Left foot;Won
jeudi 12 juillet 2007;Copa America;Mexico;Mexico;Argentina;61;0;2;;Left foot;Won
lundi 9 juillet 2007;Copa America;Argentina;Peru;Peru;61;2;0;;Left foot;Won
mardi 5 juin 2007;;Argentina;Algeria;Algeria;73;4;2;;Left foot;Won
mardi 5 juin 2007;;Argentina;Algeria;Algeria;54;2;2;Penalty;Left foot;Won
vendredi 16 juin 2006;World Cup;Argentina;Serbia and Montenegro;Serbia and Montenegro;88;6;0;;Right foot;Won
mercredi 1 mars 2006;;Croatia;Croatia;Argentina;6;1;2;;Left foot;Lost
mercredi 28 novembre 2018;Champions League;PSV Eindhoven;PSV Eindhoven;FC Barcelona;61;0;1;Field goal;Left foot;Won
mercredi 3 octobre 2018;Champions League;Tottenham Hotspur F.C.;Tottenham Hotspur F.C.;FC Barcelona;90;2;4;Field goal;Left foot;Won
mercredi 3 octobre 2018;Champions League;Tottenham Hotspur F.C.;Tottenham Hotspur F.C.;FC Barcelona;56;1;3;Field goal;Left foot;Won
samedi 21 avril 2018;;Sevilla;Sevilla;FC Barcelona;31;0;2;Field goal;Left foot;Won
mardi 20 février 2018;Champions League;Chelsea;Chelsea;FC Barcelona;75;1;1;Field goal;Left foot;Draw
mercredi 1 février 2017;;Atlético Madrid;Atlético Madrid;FC Barcelona;33;0;2;Field goal;Left foot;Won
jeudi 5 janvier 2017;;Athletic de Bilbao;Athletic de Bilbao;FC Barcelona;52;2;1;Free kick;Left foot;Lost
mercredi 23 novembre 2016;Champions League;Celtic;Celtic;FC Barcelona;55;0;2;Penalty;Left foot;Won
mercredi 23 novembre 2016;Champions League;Celtic;Celtic;FC Barcelona;24;0;1;Field goal;Left foot;Won
mardi 1 novembre 2016;Champions League;Manchester City;Manchester City;FC Barcelona;21;0;1;Field goal;Left foot;Lost
mardi 23 février 2016;Champions League;Arsenal;Arsenal;FC Barcelona;83;0;2;Penalty;Left foot;Won
mardi 23 février 2016;Champions League;Arsenal;Arsenal;FC Barcelona;71;0;1;Field goal;Left foot;Won
dimanche 20 décembre 2015;;CA River Plate;CA River Plate;FC Barcelona;36;0;1;Field goal;Left foot;Won
mercredi 9 décembre 2015;Champions League;Bayer Leverkusen;Bayer Leverkusen;FC Barcelona;20;0;1;Field goal;Right foot;Draw
samedi 30 mai 2015;;Athletic de Bilbao;Athletic de Bilbao;FC Barcelona;74;0;3;;Left foot;Won
samedi 30 mai 2015;;Athletic de Bilbao;Athletic de Bilbao;FC Barcelona;20;0;1;Solo run;Left foot;Won
mardi 25 novembre 2014;Champions League;APOEL FC;APOEL FC;FC Barcelona;87;0;4;;Right foot;Won
mardi 25 novembre 2014;Champions League;APOEL FC;APOEL FC;FC Barcelona;58;0;3;;Right foot;Won
mardi 25 novembre 2014;Champions League;APOEL FC;APOEL FC;FC Barcelona;38;0;2;;Right foot;Won
mercredi 5 novembre 2014;Champions League;Ajax;Ajax;FC Barcelona;76;0;2;;Left foot;Won
mercredi 5 novembre 2014;Champions League;Ajax;Ajax;FC Barcelona;36;0;1;;Head;Won
mardi 30 septembre 2014;Champions League;Paris Saint-Germain;Paris Saint-Germain;FC Barcelona;11;1;1;;Left foot;Lost
mardi 18 février 2014;Champions League;Manchester City;Manchester City;FC Barcelona;54;0;1;Penalty;Left foot;Won
mercredi 12 février 2014;;Real Sociedad;Real Sociedad;FC Barcelona;27;0;1;Solo run;Left foot;Draw
jeudi 16 janvier 2014;;Getafe;Getafe;FC Barcelona;63;0;2;Field goal;Left foot;Won
jeudi 16 janvier 2014;;Getafe;Getafe;FC Barcelona;44;0;1;Field goal;Hip;Won
